project_id,worksite_id,worksite_name,award_year,place_fip,geo_id,name,name_w_type,type_code,fips_code,area_land,area_water
100031,7209252,CDFG Program Administration 08/09,2008,64000,0664000,Sacramento,Sacramento city,25,C1,255399993,5413141
700005,7000051,Rowdy Creek - Rowdy Creek Fish Hatchery (steelhead spawning/rearing),1997,72380,0672380,Smith River,Smith River CDP,57,U1,11461740,38079
700011,7000061,Sonoma State University - salmonid restoration conference,1997,72654,0672654,Sonoma State University,Sonoma State University CDP,57,U1,1081020,0
700017,7000065,San Pablo Bay - mobile net pen (Chinook acclimation/release),1997,16000,0616000,Concord,Concord city,25,C1,79130630,0
700046,7000078,Incubators in the Classroom - Fortuna Centerpoint,1996,25296,0625296,Fortuna,Fortuna city,25,C1,13592673,4768
700073,7000098,High Prairie Creek - fish passage improvement/riparian enhancement,1997,38702,0638702,Klamath,Klamath CDP,57,U1,44592620,0
700081,7000102,Monterey Bay - Mobile Net Pens (Chinook acclimation/release),1997,48872,0648872,Monterey,Monterey city,25,C1,22390414,9365025
700086,7000114,Salmonids in the Classroom Equipment Upgrade,1997,60088,0660088,Redway,Redway CDP,57,U1,3239490,55629
700094,7000123,"Quail Hollow Elementary School, Ben Lomond - teacher training",1997,05332,0605332,Ben Lomond,Ben Lomond CDP,57,U1,21674901,0
700098,7000125,Rhoner Creek - culvert upgrade,1997,25296,0625296,Fortuna,Fortuna city,25,C1,13592673,4768
700101,7208468,Streaminders Environmental Education Project,1997,09324,0609324,Butte Valley,Butte Valley CDP,57,U1,47368451,29332
700109,7000137,Salmon Creek - bank stabilization/riparian plantings,1997,07246,0607246,Bodega,Bodega CDP,57,U1,7515783,0
700124,7000143,Community Involvement/Public Education Program,1997,24008,0624008,Fieldbrook,Fieldbrook CDP,57,U1,27111305,9982
700153,7000155,Rowdy Creek - Rowdy Creek Fish Hatchery (salmonid rearing),1998,72380,0672380,Smith River,Smith River CDP,57,U1,11461740,38079
700169,7000160,Eel River Watershed - watershed group support,1997,25296,0625296,Fortuna,Fortuna city,25,C1,13592673,4768
